mep_id,pg_role_id
140059,80
140080,80
140066,80
140028,80
140091,80
80038,80
80039,80
80040,80
60013,80
60042,80
60021,80
60033,80
60034,80
60043,80
60044,80
80005,80
60027,80
60023,80
60032,80
60004,80
60037,80
60035,80
60022,80
80008,80
80004,80
60017,80
60005,80
80006,80
60016,80
60041,80
60014,80
60024,80
60012,80
60020,80
60019,80
60025,80
80007,80
60038,80
60026,80
60039,80
60040,80
60028,80
60036,80
60018,80
80003,80
60030,80
80009,80
60029,80
60015,80
60031,80
40001,20
20006,50
20004,50
20007,50
20005,50
40006,50
40007,50
40004,50
40008,50
40005,50
20009,60
20010,60
20008,60
40009,60
40010,60
40095,80
40072,80
40085,80
40101,80
40116,80
40045,80
40083,80
40052,80
40070,80
40049,80
40121,80
40061,80
40066,80
40100,80
40136,80
40069,80
40103,80
40047,80
40056,80
40062,80
40089,80
40077,80
40130,80
40090,80
40091,80
40050,80
40084,80
40073,80
40078,80
40126,80
40041,80
40107,80
40088,80
40053,80
40110,80
40060,80
40075,80
40111,80
40128,80
40059,80
40134,80
40123,80
40086,80
40093,80
40115,80
40071,80
40094,80
40132,80
40106,80
40074,80
40098,80
40092,80
40054,80
40104,80
40068,80
40040,80
40114,80
40099,80
40117,80
40057,80
40138,80
40064,80
40125,80
40105,80
40076,80
40109,80
40129,80
40113,80
40067,80
40102,80
40133,80
40118,80
40043,80
40120,80
40058,80
40065,80
40112,80
40039,80
40079,80
40119,80
40124,80
40108,80
40048,80
40097,80
40080,80
40081,80
40051,80
40127,80
40087,80
40131,80
40096,80
40122,80
40063,80
40055,80
40137,80
40135,80
40042,80
40082,80
40046,80
40044,80
40022,80
40015,80
40027,80
40032,80
40018,80
40021,80
40026,80
40014,80
40037,80
40016,80
40024,80
40012,80
40023,80
40035,80
40017,80
40029,80
40025,80
40013,80
40011,80
40030,80
40033,80
40038,80
40019,80
40028,80
40031,80
40034,80
40036,80
40020,80
20277,80
20274,80
20283,80
20284,80
20286,80
20272,80
20282,80
20285,80
20276,80
20275,80
20281,80
20280,80
20273,80
20287,80
20279,80
20278,80
40145,80
40151,80
40139,80
40146,80
40152,80
40156,80
40149,80
40153,80
40140,80
40155,80
40147,80
40154,80
40143,80
40150,80
40142,80
40144,80
40141,80
40148,80
40193,80
40215,80
40159,80
40199,80
40161,80
40206,80
40186,80
40162,80
40163,80
40160,80
40183,80
40169,80
40196,80
40195,80
40173,80
