mep_id,pg_role_id
160001,30
160002,30
160003,50
160015,70
160012,70
160027,80
160023,80
160018,80
160019,80
160006,80
160021,80
160030,80
160004,80
160033,80
160034,80
160045,80
160014,80
160009,80
160007,80
160040,80
160026,80
160038,80
160010,80
160024,80
160036,80
160032,80
160041,80
160042,80
160011,80
160005,80
160037,80
160031,80
160043,80
160035,80
160025,80
160029,80
160044,80
160028,80
160016,80
160008,80
160013,80
160017,80
160020,80
160039,80
160022,80
140001,20
80001,20
10000001,30
10000002,30
60001,30
60002,30
140003,50
140002,50
80002,50
60003,50
140004,60
80041,70
60011,70
60010,70
60007,70
60009,70
60006,70
60008,70
10000003,80
10000016,80
140006,80
10000014,80
10000007,80
10000011,80
10000020,80
10000006,80
10000015,80
10000005,80
10000010,80
10000013,80
10000023,80
10000008,80
10000012,80
10000019,80
10000022,80
10000018,80
10000021,80
10000009,80
10000017,80
80029,80
80014,80
80026,80
80018,80
80032,80
80011,80
80010,80
80017,80
80015,80
80025,80
80022,80
80012,80
80024,80
80028,80
80023,80
80035,80
80021,80
80037,80
80033,80
80013,80
80034,80
80019,80
80031,80
80020,80
80027,80
80016,80
80030,80
80036,80
140022,80
140090,80
140083,80
140034,80
140065,80
140011,80
140024,80
140088,80
140030,80
140062,80
140016,80
140076,80
140027,80
140092,80
140014,80
140057,80
140094,80
140020,80
140081,80
140063,80
140096,80
140078,80
140047,80
140029,80
140082,80
140077,80
140050,80
140067,80
140039,80
140031,80
140098,80
140046,80
140025,80
140060,80
140100,80
140007,80
140068,80
140035,80
140056,80
140044,80
140052,80
140064,80
140040,80
140009,80
140101,80
140085,80
140018,80
140032,80
140037,80
140019,80
140045,80
140033,80
140099,80
140012,80
140017,80
140074,80
140087,80
140010,80
140086,80
140041,80
140054,80
140038,80
140049,80
140093,80
140097,80
140058,80
140043,80
140073,80
140070,80
140008,80
140042,80
140026,80
140023,80
140072,80
140051,80
140071,80
140013,80
140075,80
140061,80
140079,80
140089,80
140095,80
140015,80
140036,80
140055,80
140084,80
140021,80
140048,80
140069,80
140053,80
